===== Pretest calibration commands =====
n -> neutral pose capture
f -> flex straight capture
b -> flex bent capture
1 -> select HALF_RAISED action
2 -> select PICKING action
s -> start trial
e -> end trial
a -> accept last ended trial
r -> reject last ended trial
h -> help
NEUTRAL_START
DATA,34876,FLEX_STRAIGHT,0,NONE,0.999,0.292,-0.037,46.847,-96.229,-20.191,-0.485,-0.338,-0.677,-9.031,95.336,-37.496,70.81,109.80,1411,0.0,0,0
DATA,34951,FLEX_STRAIGHT,0,NONE,0.960,0.293,-0.251,62.878,-110.473,-20.214,-0.328,-0.407,-0.702,15.153,64.977,-37.519,80.79,114.92,1365,0.0,0,0
DATA,35026,FLEX_STRAIGHT,0,NONE,0.930,0.228,-0.427,60.527,-66.145,-10.626,-0.251,-0.404,-0.726,-22.160,-19.397,-17.466,87.48,115.60,1337,0.0,0,0
DATA,35101,FLEX_STRAIGHT,0,NONE,0.923,0.232,-0.511,55.527,-77.832,7.939,-0.231,-0.327,-0.793,-30.885,16.168,-9.893,94.73,118.78,1312,0.0,0,0
DATA,35176,FLEX_STRAIGHT,0,NONE,0.856,0.187,-0.597,49.977,-47.603,6.458,-0.197,-0.383,-0.778,-29.466,4.313,-10.786,99.77,121.23,1294,0.0,0,0
DATA,35251,FLEX_STRAIGHT,0,NONE,0.874,0.161,-0.563,18.634,-25.282,18.405,-0.229,-0.321,-0.753,-44.878,-6.519,-16.359,101.44,123.63,1282,0.0,0,0
DATA,35326,FLEX_STRAIGHT,0,NONE,0.785,0.197,-0.660,33.649,-8.336,0.229,-0.197,-0.368,-0.821,-37.618,-2.061,-9.702,103.54,125.93,1274,0.0,0,0
FLEX_STRAIGHT_END,1268
FLEX_BENT_START
DATA,37277,FLEX_BENT,0,NONE,0.774,0.191,-0.677,-4.779,0.565,3.740,-0.179,-0.252,-0.870,-1.305,-0.901,4.687,104.08,134.78,1722,0.0,0,0
